,AdrActCnt,CapAct1yrUSD,PriceUSD,times,OneDayReturn,NextDayReturn
300,3682.0,5015008860.99398,0.161189596462556,2018-07-20,-0.11453220420707544,0.01767297905389764
301,2697.0,5103639007.54944,0.164038296824545,2018-07-21,0.01767297905389764,0.03148070273870518
302,3062.0,5264305150.03176,0.169202337684642,2018-07-22,0.03148070273870518,-0.021936896853464116
303,4144.0,5148822630.95036,0.165490563455489,2018-07-23,-0.021936896853464116,0.046405683507806605
304,4139.0,5387757264.40007,0.173170266166733,2018-07-24,0.046405683507806605,-0.0014710423846477916
305,3569.0,5379831645.10594,0.172915525365441,2018-07-25,-0.0014710423846477916,-0.052774623660119424
306,3031.0,5095913054.68068,0.163789973589288,2018-07-26,-0.052774623660119424,0.012787337771669183
307,2789.0,5161076216.16594,0.165884411305187,2018-07-27,0.012787337771669183,-0.01628623880658464
308,2383.0,5077021696.41047,0.163182778168381,2018-07-28,-0.01628623880658464,0.0002487438528537833
309,2252.0,5078284574.34826,0.163223368881342,2018-07-29,0.0002487438528537833,-0.06021403617917531
310,2209.0,4772500563.26031,0.153395031042234,2018-07-30,-0.06021403617917531,-0.07578976886218103
311,2898.0,4410793848.67618,0.141769257094936,2018-07-31,-0.07578976886218103,-0.015270951171721503
312,2506.0,4343436831.18452,0.139604305692188,2018-08-01,-0.015270951171721503,-0.06462453726751971
313,2883.0,4062744235.81851,0.130582442036277,2018-08-02,-0.06462453726751971,-0.007244389380037686
314,2738.0,4033312134.62274,0.12963645197997,2018-08-03,-0.007244389380037686,-0.02591894200220146
315,2252.0,3928772951.32868,0.12627641229973,2018-08-04,-0.02591894200220146,0.03357241756102769
316,1664.0,4060671357.35316,0.130515816741565,2018-08-05,0.03357241756102769,-0.008526175730482421
317,2148.0,4026049359.77663,0.129403015952419,2018-08-06,-0.008526175730482421,-0.04309548495757254
318,1440.0,3852544810.15393,0.123826330224977,2018-08-07,-0.04309548495757254,-0.09194844052349538
319,2441.0,3498309322.81339,0.112440692265043,2018-08-08,-0.09194844052349538,0.09366739401502544
320,3110.0,3825986840.53979,0.122972718890755,2018-08-09,0.09366739401502544,-0.0699187160517063
321,2474.0,3558478753.01852,0.114374624276526,2018-08-10,-0.0699187160517063,-0.02739277048211497
